Filename,Year,Age,AgeClass,Country Code,Country Name,World Region,Balanced Region,Size,Mean Color,Variance
2018_14-17_1649_SGP_R_C.jpg,2018,14-17,4,SGP,Singapore,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(924, 885)",[155.17848827 161.38579255 166.58442904],5058.882863337287
2018_MS_1536_MEX_R_C.jpg,2018,MS,6,MEX,Mexico,Latin America and the Caribbean,Latin America and the Caribbean,"(633, 814)",[155.446501   140.56497665 126.44558108],3445.647708324796
2018_14-17_1640_SGP_R_C.jpg,2018,14-17,4,SGP,Singapore,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(876, 1162)",[156.56278244 147.03231714 146.82512143],3223.8862605572426
2018_14-17_1654_SGP_R_C.jpg,2018,14-17,4,SGP,Singapore,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(880, 613)",[80.80817514 76.30195388 74.04160796],2369.922349694424
2018_14-17_1663_SGP_R_C.jpg,2018,14-17,4,SGP,Singapore,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(943, 911)",[177.78813326 178.32661369 175.55355133],6951.9613634699435
2018_14-17_1821_CZE_R_C.jpg,2018,14-17,4,CZE,Czech Republic,Eastern Europe,Eastern Europe,"(1237, 894)",[114.91063662  95.39683763  92.46563274],3055.7736462100015
2018_MS_1538_MEX_R_C.jpg,2018,MS,6,MEX,Mexico,Latin America and the Caribbean,Latin America and the Caribbean,"(647, 823)",[155.29437107 158.04591713 157.38914065],2463.705066102764
2018_14-17_1634_SGP_R_C.jpg,2018,14-17,4,SGP,Singapore,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(915, 1407)",[156.95337132 149.25658515 143.66290484],4129.315459743909
2018_14-17_1420_FRA_R_C.jpg,2018,14-17,4,FRA,France,Western and Southern Europe,Western and Southern Europe,"(871, 641)",[77.07834164 76.15664746 86.88299174],2095.9939815706375
2018_MS_1531_MEX_R_C.jpg,2018,MS,6,MEX,Mexico,Latin America and the Caribbean,Latin America and the Caribbean,"(637, 815)",[142.4751317  124.75102041 114.58378134],2315.6679722868475
2018_14-17_1839_ITA_R_C.jpg,2018,14-17,4,ITA,Italy,Western and Southern Europe,Western and Southern Europe,"(1475, 1134)",[189.05747407 175.8693319  155.38858219],3904.6111063963212
2018_MS_1529_MEX_R_C.jpg,2018,MS,6,MEX,Mexico,Latin America and the Caribbean,Latin America and the Caribbean,"(642, 819)",[141.41666381 138.54516754 132.38078311],3970.7255974885893
